Area,Ethnic groups (detailed),Age group,Sex,Value,Flags
"Tasman Region","European/Maori/Asian","55-59 Years","Female",0,
"Tasman Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Tasman Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Tasman Region","European/Maori/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","European/Maori/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Pacific Peoples/European/Asian","55-59 Years","Male",0,
"Tasman Region","Pacific Peoples/European/Asian","55-59 Years","Female",3,
"Tasman Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Tasman Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Tasman Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Male",0,
"Tasman Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Female",0,
"Tasman Region","Asian/European/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Asian/European/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Maori/Pacific Peoples/Asian","55-59 Years","Male",0,
"Tasman Region","Maori/Pacific Peoples/Asian","55-59 Years","Female",0,
"Tasman Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Tasman Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Tasman Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Tasman Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Tasman Region","Maori/Asian/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Maori/Asian/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Tasman Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Tasman Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Tasman Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Tasman Region","Four ethnic groups","55-59 Years","Male",0,
"Tasman Region","Four ethnic groups","55-59 Years","Female",0,
"Tasman Region","Five ethnic groups","55-59 Years","Male",0,
"Tasman Region","Five ethnic groups","55-59 Years","Female",0,
"Tasman Region","Six ethnic groups","55-59 Years","Male",0,
"Tasman Region","Six ethnic groups","55-59 Years","Female",0,
"Tasman Region","Not Elsewhere Included","55-59 Years","Male",81,
"Tasman Region","Not Elsewhere Included","55-59 Years","Female",69,
"Nelson Region","European Only","55-59 Years","Male",1290,
"Nelson Region","European Only","55-59 Years","Female",1521,
"Nelson Region","Maori Only","55-59 Years","Male",42,
"Nelson Region","Maori Only","55-59 Years","Female",36,
"Nelson Region","Pacific Peoples Only","55-59 Years","Male",21,
"Nelson Region","Pacific Peoples Only","55-59 Years","Female",6,
"Nelson Region","Asian Only","55-59 Years","Male",15,
"Nelson Region","Asian Only","55-59 Years","Female",33,
"Nelson Region","Middle Eastern/Latin American/African Only","55-59 Years","Male",3,
"Nelson Region","Middle Eastern/Latin American/African Only","55-59 Years","Female",3,
"Nelson Region","Other Ethnicity Only","55-59 Years","Male",30,
"Nelson Region","Other Ethnicity Only","55-59 Years","Female",27,
"Nelson Region","European/Maori","55-59 Years","Male",30,
"Nelson Region","European/Maori","55-59 Years","Female",42,
"Nelson Region","European/Pacific Peoples","55-59 Years","Male",0,
"Nelson Region","European/Pacific Peoples","55-59 Years","Female",0,
"Nelson Region","European/Asian","55-59 Years","Male",0,
"Nelson Region","European/Asian","55-59 Years","Female",0,
"Nelson Region","European/Middle Eastern/Latin American/African","55-59 Years","Male",3,
"Nelson Region","European/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","European/Other Ethnicity","55-59 Years","Male",3,
"Nelson Region","European/Other Ethnicity","55-59 Years","Female",3,
"Nelson Region","Maori/Pacific Peoples","55-59 Years","Male",0,
"Nelson Region","Maori/Pacific Peoples","55-59 Years","Female",0,
"Nelson Region","Maori/Asian","55-59 Years","Male",0,
"Nelson Region","Maori/Asian","55-59 Years","Female",0,
"Nelson Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Maori/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Maori/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/Asian","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/Asian","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Asian/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Asian/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","European/Maori/Pacific Peoples","55-59 Years","Male",0,
"Nelson Region","European/Maori/Pacific Peoples","55-59 Years","Female",0,
"Nelson Region","European/Maori/Asian","55-59 Years","Male",0,
"Nelson Region","European/Maori/Asian","55-59 Years","Female",0,
"Nelson Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","European/Maori/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","European/Maori/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/European/Asian","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/European/Asian","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Male",0,
"Nelson Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Female",0,
"Nelson Region","Asian/European/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Asian/European/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Maori/Pacific Peoples/Asian","55-59 Years","Male",0,
"Nelson Region","Maori/Pacific Peoples/Asian","55-59 Years","Female",0,
"Nelson Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Maori/Asian/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Maori/Asian/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Nelson Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Nelson Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Nelson Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Nelson Region","Four ethnic groups","55-59 Years","Male",0,
"Nelson Region","Four ethnic groups","55-59 Years","Female",0,
"Nelson Region","Five ethnic groups","55-59 Years","Male",3,
"Nelson Region","Five ethnic groups","55-59 Years","Female",0,
"Nelson Region","Six ethnic groups","55-59 Years","Male",0,
"Nelson Region","Six ethnic groups","55-59 Years","Female",0,
"Nelson Region","Not Elsewhere Included","55-59 Years","Male",72,
"Nelson Region","Not Elsewhere Included","55-59 Years","Female",57,
"Marlborough Region","European Only","55-59 Years","Male",1299,
"Marlborough Region","European Only","55-59 Years","Female",1362,
"Marlborough Region","Maori Only","55-59 Years","Male",63,
"Marlborough Region","Maori Only","55-59 Years","Female",48,
"Marlborough Region","Pacific Peoples Only","55-59 Years","Male",9,
"Marlborough Region","Pacific Peoples Only","55-59 Years","Female",12,
"Marlborough Region","Asian Only","55-59 Years","Male",18,
"Marlborough Region","Asian Only","55-59 Years","Female",24,
"Marlborough Region","Middle Eastern/Latin American/African Only","55-59 Years","Male",0,
"Marlborough Region","Middle Eastern/Latin American/African Only","55-59 Years","Female",3,
"Marlborough Region","Other Ethnicity Only","55-59 Years","Male",51,
"Marlborough Region","Other Ethnicity Only","55-59 Years","Female",27,
"Marlborough Region","European/Maori","55-59 Years","Male",39,
"Marlborough Region","European/Maori","55-59 Years","Female",54,
"Marlborough Region","European/Pacific Peoples","55-59 Years","Male",3,
"Marlborough Region","European/Pacific Peoples","55-59 Years","Female",0,
"Marlborough Region","European/Asian","55-59 Years","Male",0,
"Marlborough Region","European/Asian","55-59 Years","Female",0,
"Marlborough Region","European/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","European/Middle Eastern/Latin American/African","55-59 Years","Female",3,
"Marlborough Region","European/Other Ethnicity","55-59 Years","Male",3,
"Marlborough Region","European/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Maori/Pacific Peoples","55-59 Years","Male",0,
"Marlborough Region","Maori/Pacific Peoples","55-59 Years","Female",0,
"Marlborough Region","Maori/Asian","55-59 Years","Male",0,
"Marlborough Region","Maori/Asian","55-59 Years","Female",0,
"Marlborough Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Maori/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Maori/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/Asian","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/Asian","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Asian/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Asian/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","European/Maori/Pacific Peoples","55-59 Years","Male",0,
"Marlborough Region","European/Maori/Pacific Peoples","55-59 Years","Female",3,
"Marlborough Region","European/Maori/Asian","55-59 Years","Male",3,
"Marlborough Region","European/Maori/Asian","55-59 Years","Female",0,
"Marlborough Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","European/Maori/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","European/Maori/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/European/Asian","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/European/Asian","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Male",0,
"Marlborough Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Female",0,
"Marlborough Region","Asian/European/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Asian/European/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Maori/Pacific Peoples/Asian","55-59 Years","Male",0,
"Marlborough Region","Maori/Pacific Peoples/Asian","55-59 Years","Female",0,
"Marlborough Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Maori/Asian/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Maori/Asian/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Marlborough Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Marlborough Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Marlborough Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Marlborough Region","Four ethnic groups","55-59 Years","Male",0,
"Marlborough Region","Four ethnic groups","55-59 Years","Female",0,
"Marlborough Region","Five ethnic groups","55-59 Years","Male",0,
"Marlborough Region","Five ethnic groups","55-59 Years","Female",0,
"Marlborough Region","Six ethnic groups","55-59 Years","Male",0,
"Marlborough Region","Six ethnic groups","55-59 Years","Female",0,
"Marlborough Region","Not Elsewhere Included","55-59 Years","Male",75,
"Marlborough Region","Not Elsewhere Included","55-59 Years","Female",57,
"West Coast Region","European Only","55-59 Years","Male",1074,
"West Coast Region","European Only","55-59 Years","Female",954,
"West Coast Region","Maori Only","55-59 Years","Male",30,
"West Coast Region","Maori Only","55-59 Years","Female",39,
"West Coast Region","Pacific Peoples Only","55-59 Years","Male",3,
"West Coast Region","Pacific Peoples Only","55-59 Years","Female",0,
"West Coast Region","Asian Only","55-59 Years","Male",6,
"West Coast Region","Asian Only","55-59 Years","Female",12,
"West Coast Region","Middle Eastern/Latin American/African Only","55-59 Years","Male",3,
"West Coast Region","Middle Eastern/Latin American/African Only","55-59 Years","Female",0,
"West Coast Region","Other Ethnicity Only","55-59 Years","Male",51,
"West Coast Region","Other Ethnicity Only","55-59 Years","Female",24,
"West Coast Region","European/Maori","55-59 Years","Male",33,
"West Coast Region","European/Maori","55-59 Years","Female",36,
"West Coast Region","European/Pacific Peoples","55-59 Years","Male",3,
"West Coast Region","European/Pacific Peoples","55-59 Years","Female",0,
"West Coast Region","European/Asian","55-59 Years","Male",0,
"West Coast Region","European/Asian","55-59 Years","Female",3,
"West Coast Region","European/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","European/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","European/Other Ethnicity","55-59 Years","Male",3,
"West Coast Region","European/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Maori/Pacific Peoples","55-59 Years","Male",0,
"West Coast Region","Maori/Pacific Peoples","55-59 Years","Female",0,
"West Coast Region","Maori/Asian","55-59 Years","Male",0,
"West Coast Region","Maori/Asian","55-59 Years","Female",0,
"West Coast Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Maori/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Maori/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/Asian","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/Asian","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Asian/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Asian/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","European/Maori/Pacific Peoples","55-59 Years","Male",0,
"West Coast Region","European/Maori/Pacific Peoples","55-59 Years","Female",0,
"West Coast Region","European/Maori/Asian","55-59 Years","Male",0,
"West Coast Region","European/Maori/Asian","55-59 Years","Female",0,
"West Coast Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","European/Maori/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","European/Maori/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/European/Asian","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/European/Asian","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/European/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/European/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Male",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African/European","55-59 Years","Female",0,
"West Coast Region","Asian/European/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Asian/European/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Maori/Pacific Peoples/Asian","55-59 Years","Male",3,
"West Coast Region","Maori/Pacific Peoples/Asian","55-59 Years","Female",0,
"West Coast Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Maori/Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Maori/Asian/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Maori/Asian/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/Maori/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"West Coast Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"West Coast Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Asian/Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"West Coast Region","Four ethnic groups","55-59 Years","Male",0,
"West Coast Region","Four ethnic groups","55-59 Years","Female",0,
"West Coast Region","Five ethnic groups","55-59 Years","Male",0,
"West Coast Region","Five ethnic groups","55-59 Years","Female",0,
"West Coast Region","Six ethnic groups","55-59 Years","Male",0,
"West Coast Region","Six ethnic groups","55-59 Years","Female",0,
"West Coast Region","Not Elsewhere Included","55-59 Years","Male",72,
"West Coast Region","Not Elsewhere Included","55-59 Years","Female",78,
"Canterbury Region","European Only","55-59 Years","Male",14298,
"Canterbury Region","European Only","55-59 Years","Female",14625,
"Canterbury Region","Maori Only","55-59 Years","Male",492,
"Canterbury Region","Maori Only","55-59 Years","Female",333,
"Canterbury Region","Pacific Peoples Only","55-59 Years","Male",186,
"Canterbury Region","Pacific Peoples Only","55-59 Years","Female",147,
"Canterbury Region","Asian Only","55-59 Years","Male",609,
"Canterbury Region","Asian Only","55-59 Years","Female",942,
"Canterbury Region","Middle Eastern/Latin American/African Only","55-59 Years","Male",63,
"Canterbury Region","Middle Eastern/Latin American/African Only","55-59 Years","Female",63,
"Canterbury Region","Other Ethnicity Only","55-59 Years","Male",417,
"Canterbury Region","Other Ethnicity Only","55-59 Years","Female",273,
"Canterbury Region","European/Maori","55-59 Years","Male",312,
"Canterbury Region","European/Maori","55-59 Years","Female",393,
"Canterbury Region","European/Pacific Peoples","55-59 Years","Male",24,
"Canterbury Region","European/Pacific Peoples","55-59 Years","Female",18,
"Canterbury Region","European/Asian","55-59 Years","Male",6,
"Canterbury Region","European/Asian","55-59 Years","Female",18,
"Canterbury Region","European/Middle Eastern/Latin American/African","55-59 Years","Male",6,
"Canterbury Region","European/Middle Eastern/Latin American/African","55-59 Years","Female",3,
"Canterbury Region","European/Other Ethnicity","55-59 Years","Male",27,
"Canterbury Region","European/Other Ethnicity","55-59 Years","Female",24,
"Canterbury Region","Maori/Pacific Peoples","55-59 Years","Male",9,
"Canterbury Region","Maori/Pacific Peoples","55-59 Years","Female",0,
"Canterbury Region","Maori/Asian","55-59 Years","Male",0,
"Canterbury Region","Maori/Asian","55-59 Years","Female",3,
"Canterbury Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Canterbury Region","Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Canterbury Region","Maori/Other Ethnicity","55-59 Years","Male",3,
"Canterbury Region","Maori/Other Ethnicity","55-59 Years","Female",3,
"Canterbury Region","Pacific Peoples/Asian","55-59 Years","Male",0,
"Canterbury Region","Pacific Peoples/Asian","55-59 Years","Female",0,
"Canterbury Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Canterbury Region","Pacific Peoples/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Canterbury Region","Pacific Peoples/Other Ethnicity","55-59 Years","Male",0,
"Canterbury Region","Pacific Peoples/Other Ethnicity","55-59 Years","Female",0,
"Canterbury Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Canterbury Region","Asian/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Canterbury Region","Asian/Other Ethnicity","55-59 Years","Male",0,
"Canterbury Region","Asian/Other Ethnicity","55-59 Years","Female",0,
"Canterbury Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Canterbury Region","Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",3,
"Canterbury Region","European/Maori/Pacific Peoples","55-59 Years","Male",3,
"Canterbury Region","European/Maori/Pacific Peoples","55-59 Years","Female",3,
"Canterbury Region","European/Maori/Asian","55-59 Years","Male",3,
"Canterbury Region","European/Maori/Asian","55-59 Years","Female",3,
"Canterbury Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Male",0,
"Canterbury Region","European/Maori/Middle Eastern/Latin American/African","55-59 Years","Female",0,
"Canterbury Region","European/Maori/Other Ethnicity","55-59 Years","Male",6,
"Canterbury Region","European/Maori/Other Ethnicity","55-59 Years","Female",3,
"Canterbury Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Male",0,
"Canterbury Region","European/Middle Eastern/Latin American/African/Other Ethnicity","55-59 Years","Female",0,
"Canterbury Region","Pacific Peoples/European/Asian","55-59 Years","Male",0,
"Canterbury Region","Pacific Peoples/European/Asian","55-59 Years","Female",0,
